Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Rasa (Taste),Guna (Qualities),Virya (Potency),Vipaka (Post-digestive Effect),Prabhava (Special Effect),Dosha Impact,Mapped_Ingredients
Pitha with Spinach and Banana,Assam,Veg,None,190,33,2,4,11,240,"Vitamin B2, C","Varies (Sweet/Astringent/Bitter); Sweet, Astringent","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, aggravates Kapha","Pitha, Spinach, Banana"
Duck Curry with Beans and Carrots,Assam,Non-Veg,Duck,350,16,30,27,8,620,"Vitamin B12, D",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Duck, Bean, Carrots"
Pitha with Beans and Peanuts,Assam,Veg,Peanuts,180,32,2,4,11,240,"Vitamin B2, C",Varies (Sweet/Astringent/Bitter); Slightly Sweet,"Light to Heavy, Dry to Oily (Varies); Oily, Heavy",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Lubricating, nutritive","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may increase Kapha","Pitha, Bean, Peanuts"
Duck Curry with Carrots and Beans,Assam,Non-Veg,Duck,350,16,30,27,8,620,"Vitamin B12, D",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Duck, Carrots, Bean"
Pitha with Spinach and Beans,Assam,Veg,None,190,33,2,4,11,240,"Vitamin B2, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Pitha, Spinach, Bean"
Masoor Dal with Spinach and Beans,Assam,Veg,None,230,28,6,14,5,300,"Vitamin B9, C","Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich; Protein-rich, cleansing; Nourishing, Satiety-giving","Balances Kapha & Pitta; Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Masoor dal, Lentil, Spinach, Bean"
Thukpa,Arunachal Pradesh,veg,gluten,350,45,10,20,5,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Thukpa
Momos,Arunachal Pradesh,veg,gluten,400,50,15,25,8,900,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Momos
Zan,Arunachal Pradesh,veg,gluten,300,40,8,15,6,700,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Zan
Apong,Arunachal Pradesh,non-veg,gluten,250,35,5,18,2,600,"Vitamin B, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Apong
Bamboo Shoot Curry,Arunachal Pradesh,veg,none,150,20,5,8,3,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bamboo, Shoot"
Pork with Bamboo Shoot,Arunachal Pradesh,non-veg,none,400,30,25,30,7,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Bamboo, Shoot"
Rice Beer,Arunachal Pradesh,non-veg,none,200,20,0,1,0,50,Vitamin B,Sweet; Varies (Sweet/Astringent/Bitter),"Light, Soft; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Nourishing; Nourishing, Satiety-giving","Balances Vata & Pitta, may increase Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Rice, Beer"
Chicken Curry,Arunachal Pradesh,non-veg,none,350,40,20,25,6,800,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Chicken
Pork Belly,Arunachal Pradesh,non-veg,none,500,20,35,25,3,900,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Belly"
Fried Fish,Arunachal Pradesh,non-veg,none,300,15,25,20,2,600,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Fish
Vegetable Pakoras,Arunachal Pradesh,veg,gluten,250,30,10,5,2,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Pakoras"
Khar,Arunachal Pradesh,veg,none,200,25,5,10,4,400,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Khar
Noodles with Vegetables,Arunachal Pradesh,veg,gluten,350,50,10,15,6,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Noodles, Vegetables"
Beef Steak,Arunachal Pradesh,non-veg,none,400,10,30,25,2,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Beef, Steak"
Stir-Fried Vegetables,Arunachal Pradesh,veg,none,200,20,5,10,5,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Stir, Vegetables"
Rice,Arunachal Pradesh,veg,none,250,50,0,5,0,10,Vitamin B,Sweet,"Light, Soft",Cooling,Sweet,Nourishing,"Balances Vata & Pitta, may increase Kapha",Rice
Sushi with Pork,Arunachal Pradesh,non-veg,gluten,300,40,10,20,5,700,"Vitamin B, C","Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Sushi, Pork"
Chana Dal,Arunachal Pradesh,veg,none,350,45,8,20,5,500,Vitamin B,"Astringent, Sweet","Heavy, Dry; Light, Dry",Cooling,Pungent,"Grounding, protein-rich; Protein-rich, cleansing","May aggravate Vata & Kapha; Balances Kapha & Pitta, may aggravate Vata","Chickpea, Lentil"
Mutton Curry,Arunachal Pradesh,non-veg,none,400,40,25,30,6,800,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Mutton
Potato Salad,Arunachal Pradesh,veg,none,200,30,5,5,3,300,Vitamin C,"Sweet, Astringent","Heavy, Dry",Cooling,Sweet,Satiety-giving,"Balances Pitta, aggravates Vata & Kapha",Potato
Pork Stew,Arunachal Pradesh,non-veg,none,350,20,20,25,5,700,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Stew"
Vegetable Soup,Arunachal Pradesh,veg,none,150,20,3,7,2,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Soup"
Bamboo Shoot Salad,Arunachal Pradesh,veg,none,100,15,2,5,1,150,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bamboo, Shoot"
Chicken Korma,Arunachal Pradesh,non-veg,dairy,400,30,25,30,7,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Korma"
Mutton Kebabs,Arunachal Pradesh,non-veg,none,450,25,30,35,4,900,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Kebabs"
Vegetable Biryani,Arunachal Pradesh,veg,gluten,350,50,10,10,6,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Biryani"
Chicken Shawarma,Arunachal Pradesh,non-veg,gluten,400,40,15,25,5,900,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Shawarma"
Pork with Chives,Arunachal Pradesh,non-veg,none,350,30,20,25,6,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Chives"
Fried Rice,Arunachal Pradesh,veg,gluten,400,60,10,10,5,800,"Vitamin A, C",Sweet,"Light, Soft",Cooling,Sweet,Nourishing,"Balances Vata & Pitta, may increase Kapha",Rice
Beef Curry,Arunachal Pradesh,non-veg,none,450,40,30,25,4,900,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Beef
Vegetable Pakoda,Arunachal Pradesh,veg,gluten,250,30,10,5,2,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Pakoda"
Chicken Tikka,Arunachal Pradesh,non-veg,none,300,20,15,25,4,600,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Tikka"
Spicy Pork,Arunachal Pradesh,non-veg,none,350,25,25,20,7,700,Vitamin B,"Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Spicy, Pork"
Sweet Potato Fries,Arunachal Pradesh,veg,none,200,30,10,2,6,300,"Vitamin A, C","Varies (Sweet/Astringent/Bitter); Sweet, Astringent","Light to Heavy, Dry to Oily (Varies); Heavy, Dry",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Pitta, aggravates Vata & Kapha","Sweet, Potato, Fries"
Lentil Soup,Arunachal Pradesh,veg,none,150,25,1,10,3,200,Vitamin B,"Astringent, Sweet; Varies (Sweet/Astringent/Bitter)","Light, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Pungent; Sweet or Pungent,"Protein-rich, cleansing; Nourishing, Satiety-giving","Balances Kapha & Pitta, may aggravate Vata; Generally balances Pitta, effects on Vata/Kapha vary","Lentil, Soup"
Bamboo Shoot Pickle,Arunachal Pradesh,veg,none,100,10,5,2,1,100,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bamboo, Shoot"
Beef Stew,Arunachal Pradesh,non-veg,none,400,20,25,30,5,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Beef, Stew"
Vegetable Stir Fry,Arunachal Pradesh,veg,none,200,20,5,7,3,300,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Stir"
Chicken Dumplings,Arunachal Pradesh,non-veg,gluten,300,35,10,20,5,600,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Dumplings"
Pork with Green Beans,Arunachal Pradesh,non-veg,none,350,25,20,25,4,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Green, Bean"
Vegetable Curry,Arunachal Pradesh,veg,none,250,30,8,10,4,400,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Chicken Biryani,Arunachal Pradesh,non-veg,gluten,450,50,15,30,6,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Biryani"
Pork Skewers,Arunachal Pradesh,non-veg,none,350,20,25,30,3,700,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Pork
Vegetable Sandwich,Arunachal Pradesh,veg,gluten,300,40,8,10,5,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Chicken Salad,Arunachal Pradesh,non-veg,none,250,20,15,20,2,400,"Vitamin B, C","Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Chicken
Pork with Celery,Arunachal Pradesh,non-veg,none,350,25,20,25,4,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Celery"
Spicy Noodles,Arunachal Pradesh,veg,gluten,350,50,10,15,7,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Spicy, Noodles"
Chicken Soup,Arunachal Pradesh,non-veg,none,200,15,5,15,2,300,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Soup"
Beef Stir Fry,Arunachal Pradesh,non-veg,none,350,25,20,25,4,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Beef, Stir"
Vegetable Korma,Arunachal Pradesh,veg,dairy,300,30,12,10,5,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Korma"
Pork with Tomatoes,Arunachal Pradesh,non-veg,none,350,25,20,25,6,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Tomatoes"
Chicken Kebabs,Arunachal Pradesh,non-veg,none,300,15,20,25,4,600,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Kebabs"
Vegetable Stew,Arunachal Pradesh,veg,none,150,25,5,7,3,200,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Stew"
Mutton Stew,Arunachal Pradesh,non-veg,none,400,20,25,30,5,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Mutton, Stew"
Chicken Wrap,Arunachal Pradesh,non-veg,gluten,350,40,15,25,6,700,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Chicken
Pork with Bamboo Shoot Pickle,Arunachal Pradesh,non-veg,none,400,30,25,30,7,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Bamboo, Shoot"
Vegetable Fried Rice,Arunachal Pradesh,veg,gluten,350,50,10,10,5,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter); Sweet,"Light to Heavy, Dry to Oily (Varies); Light, Soft",Cooling,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata & Pitta, may increase Kapha","Vegetable, Rice"
Chicken with Vegetables,Arunachal Pradesh,non-veg,none,350,30,20,25,6,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Vegetables"
Pork Curry,Arunachal Pradesh,non-veg,none,400,35,25,30,5,800,Vitamin B,"Sweet, Salty","Heavy, Oily",Heating,Sweet,Strength-giving,"Balances Vata, may aggravate Pitta & Kapha",Pork
Vegetable Soup with Noodles,Arunachal Pradesh,veg,gluten,250,40,5,8,3,500,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Soup, Noodles"
Chicken with Bamboo Shoot,Arunachal Pradesh,non-veg,none,350,30,20,25,5,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Bamboo, Shoot"
Beef with Vegetables,Arunachal Pradesh,non-veg,none,400,30,25,30,6,800,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Beef, Vegetables"
Spicy Chicken Curry,Arunachal Pradesh,non-veg,none,400,35,25,30,7,800,Vitamin B,"Varies (Sweet/Astringent/Bitter); Sweet, Salty","Light to Heavy, Dry to Oily (Varies); Heavy, Oily",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha","Spicy, Chicken"
Vegetable Dumplings,Arunachal Pradesh,veg,gluten,300,40,10,10,6,700,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Dumplings"
Pork with Herbs,Arunachal Pradesh,non-veg,none,350,25,20,25,4,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Herbs"
Chicken Stir Fry,Arunachal Pradesh,non-veg,none,300,25,15,25,4,600,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Stir"
Vegetable Biryani with Raita,Arunachal Pradesh,veg,dairy,400,50,15,12,5,800,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Vegetable, Biryani"
Pork with Spinach,Arunachal Pradesh,non-veg,none,350,30,20,25,5,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Pork, Spinach"
Chicken Salad with Greens,Arunachal Pradesh,non-veg,none,250,20,15,20,2,400,"Vitamin B, C","Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Greens"
Spicy Pork with Rice,Arunachal Pradesh,non-veg,none,400,45,25,30,6,800,Vitamin B,"Varies (Sweet/Astringent/Bitter); Sweet, Salty; Sweet","Light to Heavy, Dry to Oily (Varies); Heavy, Oily; Light, Soft",Heating,Sweet or Pungent; Sweet,"Nourishing, Satiety-giving; Strength-giving; Nourishing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Vata, may aggravate Pitta & Kapha; Balances Vata & Pitta, may increase Kapha","Spicy, Pork, Rice"
Vegetable Pakora with Chutney,Arunachal Pradesh,veg,gluten,300,35,12,6,4,600,"Vitamin A, C",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Vegetable
Chicken with Spices,Arunachal Pradesh,non-veg,none,350,25,20,30,5,700,Vitamin B,"Sweet, Salty; Varies (Sweet/Astringent/Bitter)","Heavy, Oily; Light to Heavy, Dry to Oily (Varies)",Heating,Sweet; Sweet or Pungent,"Strength-giving; Nourishing, Satiety-giving","Balances Vata, may aggravate Pitta & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Chicken, Spices"
Beef with Potatoes,Arunachal Pradesh,non-veg,none,400,30,25,30,6,800,Vitamin B,"Sweet, Salty; Sweet, Astringent","Heavy, Oily; Heavy, Dry",Heating,Sweet,Strength-giving; Satiety-giving,"Balances Vata, may aggravate Pitta & Kapha; Balances Pitta, aggravates Vata & Kapha","Beef, Potato"
